"Archiv-ID"	"Interview"	"Transkript"	"Übersetzung"	"Erschliessung"	"Lektorat"	"Segmentierung"
"za001"	"Dalhouski/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za002"	"Dalhousk/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za003"	"Dalhouski/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za004"	"Dalhousk/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	""	""	""	""
"za005"	"Dalhouski/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	""	""	""	""
"za006"	"Dalhouski/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	""	""	""	""
"za007"	"Dalhousk/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za008"	"Dalhousk/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za009"	"Dalhouski/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za010"	"Dalhousk/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	""	""	""	""
"za011"	"Dalhousk/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	"k.A."	"Marie Schmidtmann, Inna Yandaraeva, Dolgormaa Dashzeveg"	""	""
"za012"	"Dalhouski/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	""	""	""	""
"za013"	"Dalhouski/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	"Naak, Viktorija"	""	""	""
"za014"	"Dalhouski/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za015"	"Dalhouski/Dolgowskij/, Alexander"	"Stscherbina, Natalja"	"k.A."	""	""	""
"za016"	"Dalhouski/Dolgowskij/, Alexander"	"Sabolodskaja, Veronika"	""	""	""	""
"za017"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za018"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za019"	"Elena Khloptseva"	"k.A."	""	""	""	""
"za020"	"Elena Khloptseva"	"Natalia Scherbina"	"Christina Chekhovskaja"	"Victoria Loprieno"	""	""
"za021"	"Elena Khloptseva"	"Natalia Scherbina"	"Christina Chekhovskaja"	"Jakob Stürmann, Maria Nalizko"	""	""
"za022"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za023"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za024"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za025"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za026"	"Elena Khloptseva"	"Natalia Scherbina"	"Christina Chekhovskaja"	""	""	""
"za027"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za028"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za029"	"Elena Khloptseva"	"Natalia Scherbina"	""	""	""	""
"za030"	"Kristina Tschechowskaja, Imke Hansen"	"Natalia Schtscherbina "	""	""	""	""
"za031"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	"Kristina Tschechowskaja, Imke Hansen"	""	""	""
"za032"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	"Kristina Tschechowskaja, Imke hansen"	""	""	""
"za033"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za034"	"Kristina Tschechowskaja, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za035"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za036"	"Kristina Tschechowskaja, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za037"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina "	""	""	""	""
"za038"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za039"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	"Kristina Tschechowskaja, Imke Hansen"	""	""	""
"za040"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za041"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za042"	"Alesia Belanowitsch, Imke Hansen"	"Natalia Schtscherbina"	""	""	""	""
"za043"	"Dimic, Lazar"	"Dimic, Lazar"	""	""	""	""
"za044"	"Dimic, Lazar"	"Dimic, Lazar"	"k.A."	""	""	""
"za045"	"Dimic, Lazar"	"Dimic, Lazar"	""	""	""	""
"za046"	"Dimic, Lazar"	"Dimic, Lazar"	"k.A."	""	""	""
"za047"	"Dimic, Lazar"	"Dimic, Lazar"	""	""	""	""
"za048"	"Dimic, Lazar"	"Dimic, Lazar"	""	""	""	""
"za049"	"Dimic, Lazar"	"Dimic, Lazar"	"Dimic, Lazar und Mair, Birgit"	""	""	""
"za050"	"Dimic, Lazar"	"Dimic, Lazar"	"Dimic, Lazar und Mair, Birgit"	""	""	""
"za051"	"Luleva, Ana"	"Troeva, Evgenia"	"Igla, Birgit"	""	""	""
"za052"	"Dadova, Julina"	"Dadova, Julina"	"Igla, Birgit"	""	""	""
"za053"	"Luleva, Ana"	"Boncheva, Tsvetana"	"Igla, Birgit"	""	""	""
"za054"	"Luleva, Ana"	"Troeva, Evgenia"	""	""	""	""
"za055"	"Luleva, Ana"	"Troeva, Evgenia"	"Igla, Birgit"	""	""	""
"za056"	"Luleva, Ana"	"Dadova, Julina "	"Igla, Birgit"	""	""	""
"za057"	"Luleva, Ana"	"Bonceva, Tsvetana "	"Igla, Birgit"	""	""	""
"za058"	"Luleva, Ana"	"Bonceva, Tsvetana "	"Igla, Birgit"	""	""	""
"za059"	"Luleva, Ana"	"Kramarska, nikolina"	"Igla, Birgit"	""	""	""
"za060"	"Thonfeld, Christoph"	"Klepel"	""	""	""	""
"za061"	"von Plato, Alexander"	""	""	""	""	""
"za062"	"von Plato, Alexander"	"Klepel"	""	""	""	""
"za063"	"von Plato, Alexander"	""	""	""	""	""
"za064"	"von Plato, Alexander"	"Wahnbaeck, arlies"	""	""	""	""
"za065"	"Thonfeld, Christoph"	"k.A."	""	""	""	""
"za066"	"von Plato, Alexander"	"Melvyn Van Wichelen"	""	""	""	""
"za067"	"von Plato, Alexander"	""	""	""	""	""
"za068"	"Thonfeld, Christoph"	"k.A."	"k.A."	""	""	""
"za069"	"Thonfeld, Christoph"	"k.A."	"k.A."	""	""	""
"za070"	"Thonfeld, Christoph"	"k.A."	"k.A."	"Valentina Stefanski"	""	""
"za071"	"Thonfeld, Christoph"	"k.A."	"k.A."	""	""	""
"za072"	"Thonfeld, Christoph"	"k.A."	"k.A."	""	""	""
"za073"	"Thonfeld, Christoph"	"k.A."	"k.A."	""	""	""
"za074"	"Montredon Julia"	"Montredon Julia"	"Brutscher, Barbara"	""	""	""
"za075"	"Granet-Abisset, Anne-Marie"	"Granet-Abisset, Anne-Marie"	"Fumex, Waltrude, Favier, Martine"	""	""	""
"za076"	"Montredon Julia"	"Montredon Julia"	"Brutscher, Barbara"	""	""	""
"za077"	"Granet-Abisset, Anne-Marie"	"Granet-Abisset, Anne-Marie"	"Favier, Martine"	""	""	""
"za078"	"Montredon Julia"	"Montredon Julia"	"Brutscher, Barbara "	""	""	""
"za079"	"Granet-Abisset Anne-Marie"	"Bourdeaux Isabelle "	""	""	""	""
"za080"	"Granet-Abisset Anne-Marie"	"Wronski Nicole"	""	""	""	""
"za081"	"Granet-Abisset, Anne-Marie"	"Wronski, Nicole"	"Favier, Martine"	""	""	""
"za082"	"Granet-Abisset, Anne-Marie"	"Granet-Abisset, Anne-Marie"	"Favier, Martine"	""	""	""
"za083"	"Montredon, Julia"	"Wronski, Nicole"	"Favier, Martine"	""	""	""
"za084"	"Granet-Abisset, Anne-Marie"	"Granet-Abisset, Anne-Marie"	"Favier, Martine"	""	""	""
"za085"	"Montredon Julia"	"Montredon Julia"	"Brutscher, Barbara"	""	""	""
"za086"	"Granet-Abisset Anne-Marie mit M.Szempruch (Kameramann)"	"Granet-Abisset Anne-Marie"	"Brutscher Barbara"	""	""	""
"za087"	"Montedron, Julia"	"Montedron, Julia"	"Favier, Martine"	""	""	""
"za088"	"Montedron, Julia"	"Montedron, Julia"	"Favier, Martine"	""	""	""
"za089"	"Montedron, Julia"	"Montedron, Julia"	"Favier, Martine"	""	""	""
"za090"	"Montredon Julia"	"Montredon Julia"	"Brutscher, Barbara"	""	""	""
"za091"	"Granet-Abisset, Anne-Marie"	"Wronski, Nicole"	"Favier, Martine"	""	""	""
"za092"	"Montredon Julia"	"Montredon Julia"	"Brutscher, Barbara"	""	""	""
"za093"	"Granet-Abisset, Anne-Marie"	"Granet-Abisset, Anne-Marie"	"Brutscher, Barbara, Favier, Martine"	""	""	""
"za094"	"Boasson Amija"	"Kidron Avivit"	"Boasson Amija"	""	""	""
"za095"	"Boasson Amija "	"Kidron Avivit "	""	""	""	""
"za096"	"Boasson Amija"	"Kidron Avivit"	""	""	""	""
"za097"	"Boasson Amija"	"Kidron Avivit"	"Amija Boasson"	""	""	""
"za098"	"Boasson  Amija"	"Kidron  Avivit"	""	""	""	""
"za099"	"Boasson Amija "	"Kidron Avivit "	""	""	""	""
