"Tape_Media_ID"	"Media_ID"	"Mainheading"	"Subheading"
"ZA011_06_01"	"ZA011_06_01_0001"	"Kindheit und Jugend in David-Gorodok, Weißrussland"	"Beruf des Vaters"
"ZA011_06_01"	"ZA011_06_01_0023"	"NULL"	"Besuch der polnischen Schule"
"ZA011_06_01"	"ZA011_06_01_0026"	"NULL"	"Annektion Ostpolens durch die Sowjetunion,  Besuch der sowjetischen Schule"
"ZA011_06_01"	"ZA011_06_01_0039"	"NULL"	"Einmarsch der Deutschen"
"ZA011_06_01"	"ZA011_06_01_0054"	"NULL"	"Verhältnis zur jüdischen Bevölkerung und deren Vernichtung durch die Deutschen"
"ZA011_06_01"	"ZA011_06_01_0070"	"Transport nach und Ankunft im Deutschen Reich"	"Deportation ins Deutsche Reich, Sprengung der Schienen durch Partisanen"
"ZA011_06_01"	"ZA011_06_01_0143"	"NULL"	"Ankunft in Gdynia, Desinfektion der Deportierten"
"ZA011_06_01"	"ZA011_06_01_0176"	"NULL"	"Weitertransport ins Lager nach Elbing"
"ZA011_06_01"	"ZA011_06_01_0205"	"Zwangsarbeit in Elbing"	"Allgemeine Arbeitsbedingungen"
"ZA011_06_01"	"ZA011_06_01_0216"	"NULL"	"Lebensbedingungen im Lager"
"ZA011_06_01"	"ZA011_06_01_0239"	"NULL"	"Sabotage-Versuch und Strafversetzung"
"ZA011_06_01"	"ZA011_06_01_0259"	"NULL"	"Wechselnde Einsatzstellen, Verhältnis zu Zwangsarbeitern anderer Nationen"
"ZA011_06_01"	"ZA011_06_01_0296"	"NULL"	"Schanzarbeiten, starke Krankheit"
"ZA011_06_02"	"ZA011_06_02_0027"	"Rückkehr in die Heimat"	"Frontnähe, Leben in Erdhütten bei Torun"
"ZA011_06_02"	"ZA011_06_02_0076"	"NULL"	"Evakuierung, Kontakt mit sowjetischen Erkundungssoldaten"
"ZA011_06_02"	"ZA011_06_02_0103"	"NULL"	"Unterkunft bei polnischer Familie, Warten auf die Befreiung durch die sowjetische Armee"
"ZA011_06_02"	"ZA011_06_02_0138"	"NULL"	"Befreiung durch die sowjetische Armee"
"ZA011_06_02"	"ZA011_06_02_0189"	"NULL"	"Allgemeiner Rückblick auf die Zwangsarbeit"
"ZA011_06_02"	"ZA011_06_02_0214"	"NULL"	"Rückreise über Warschau und Brest"
"ZA011_06_02"	"ZA011_06_02_0241"	"NULL"	"Überprüfung durch das NKWD"
"ZA011_06_02"	"ZA011_06_02_0252"	"NULL"	"Wiedersehen mit der Familie"
"ZA011_06_02"	"ZA011_06_02_0259"	"NULL"	"Verurteilung des Kriegs und Wünsche für die Zukunft"
"ZA011_06_02"	"ZA011_06_02_0278"	"Erinnerungen an die Familie"	"Mutter I"
"ZA011_06_02"	"ZA011_06_02_0288"	"NULL"	"Zwangsarbeit der Schwester, Tod des Bruders durch Mine"
"ZA011_06_02"	"ZA011_06_02_0296"	"NULL"	"Mutter II"
"ZA011_06_02"	"ZA011_06_02_0303"	"NULL"	"Religiosität"
"ZA011_06_02"	"ZA011_06_02_0306"	"NULL"	"Verhältnis der Familie zu den Armen/ Juden"
"ZA011_06_02"	"ZA011_06_02_0326"	"NULL"	"Ausbildung der Eltern"
"ZA011_06_02"	"ZA011_06_02_0340"	"Zwangsarbeit in Elbing II"	"Beschaffung von Kleidung im Lager"
"ZA011_06_03"	"ZA011_06_03_0001"	"Erinnerungen an die Familie II"	"Vater"
"ZA011_06_03"	"ZA011_06_03_0019"	"NULL"	"Allgemeiner Lebensrückblick, Gedanken zur Sowjetunion"
"ZA011_06_03"	"ZA011_06_03_0037"	"NULL"	"Großeltern"
"ZA011_06_03"	"ZA011_06_03_0052"	"NULL"	"Geschwister"
"ZA011_06_03"	"ZA011_06_03_0079"	"NULL"	"Wohnhaus der Familie in David-Gorodok"
"ZA011_06_03"	"ZA011_06_03_0087"	"NULL"	"Berufe der verschiedenen Familienmitglieder"
"ZA011_06_03"	"ZA011_06_03_0100"	"NULL"	"Zwei Ehen, Tod der Ehemänner, wechselnde  Arbeitsverhältnisse und mehrfache Umzüge"
"ZA011_06_03"	"ZA011_06_03_0141"	"NULL"	"Tod des Sohnes"
"ZA011_06_03"	"ZA011_06_03_0173"	"NULL"	"Akzeptieren des eigenen Schicksals"
"ZA011_06_03"	"ZA011_06_03_0187"	"Kindheit und Jugend in David-Gorodok, Weißrussland II"	"Das Schulgebäude"
"ZA011_06_03"	"ZA011_06_03_0206"	"NULL"	"Verbannung der polnischen Lehrer nach Sibirien"
"ZA011_06_03"	"ZA011_06_03_0216"	"NULL"	"Unterschiede zwischen der polnischen und sowjetischen Schule"
"ZA011_06_03"	"ZA011_06_03_0234"	"NULL"	"Politische Einstellungen in der Familie"
"ZA011_06_03"	"ZA011_06_03_0269"	"NULL"	"Kindheitspläne für die eigene Zukunft"
