	"Archive-ID"	"Media-ID"	"Duration"					
155	70	"ZA070_04_01"	"NULL"	"ZA070_04_01_tc_tab.ods"	15.07.09 14:50	06.08.09 12:40	"segmented"	"NULL"
156	70	"ZA070_04_02"	"00:40:31.01"	"ZA070_04_02_tc_tab.ods"	15.07.09 14:50	04.08.09 17:08	"segmented"	"NULL"
157	70	"ZA070_04_03"	"00:41:03.01"	"ZA070_04_03_tc_tab.ods"	15.07.09 14:51	04.08.09 17:08	"segmented"	"NULL"
158	70	"ZA070_04_04"	"NULL"	"ZA070_04_04_tc_tab.ods"	15.07.09 14:51	04.08.09 17:08	"segmented"	"NULL"
159	130	"ZA130_04_01"	"00:35:10.24"	"ZA130_04_01_tc_tab.ods"	15.07.09 14:51	06.11.09 12:43	"segmented"	"NULL"
160	130	"ZA130_04_02"	"00:35:26.21"	"ZA130_04_02_tc_tab.ods"	15.07.09 14:51	05.11.09 17:19	"segmented"	"NULL"
161	130	"ZA130_04_03"	"00:36:01.09"	"ZA130_04_03_tc_tab.ods"	15.07.09 14:51	05.11.09 17:19	"segmented"	"NULL"
162	130	"ZA130_04_04"	"00:10:29.07"	"ZA130_04_04_tc_tab.ods"	15.07.09 14:52	05.11.09 17:19	"segmented"	"NULL"
163	197	"ZA197_08_01"	"00:35:08.11"	"ZA197_08_01_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
164	197	"ZA197_08_02"	"00:34:48.18"	"ZA197_08_02_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
165	197	"ZA197_08_03"	"00:35:01.16"	"ZA197_08_03_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
166	197	"ZA197_08_04"	"00:35:13.09"	"ZA197_08_04_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
167	197	"ZA197_08_05"	"00:34:53.01"	"ZA197_08_05_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
168	197	"ZA197_08_06"	"00:35:09.09"	"ZA197_08_06_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
169	197	"ZA197_08_07"	"00:36:49.16"	"ZA197_08_07_tc_tab.ods"	15.07.09 14:52	22.09.09 15:49	"segmented"	"NULL"
170	197	"ZA197_08_08"	"00:12:07.19"	"ZA197_08_08_tc_tab.ods"	15.07.09 14:53	22.09.09 15:49	"segmented"	"NULL"
