"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
633	"00:00:09.24"		
634	"00:00:16.17"		
635	"00:00:20.19"		
636	"00:00:27.23"		
637	"00:00:38.23"		
638	"00:00:49.05"		
639	"00:00:51.06"		
640	"00:01:06.11"		
641	"00:01:19.04"		
642	"00:01:28.03"		
643	"00:01:33.19"		
644	"00:01:39.21"		
645	"00:01:41.04"		
646	"00:01:48.09"		
647	"00:01:57.20"		
648	"00:02:00.24"		
649	"00:02:17.06"		
650	"00:02:27.11"		
651	"00:02:58.22"		
652	"00:03:08.05"		
653	"00:03:10.09"		
654	"00:03:12.24"		
655	"00:03:16.13"		
656	"00:03:23.17"		
657	"00:03:29.09"		
658	"00:03:40.16"		
659	"00:03:50.16"		
660	"00:04:08.07"		
661	"00:04:15.15"		
662	"00:04:26.17"		
663	"00:04:36.06"		"Überzeugter Aktivist des Bundes antifaschistischer Kämpfer (SAB)"
664	"00:04:50.13"		
665	"00:04:55.21"		
666	"00:04:58.13"		
667	"00:05:01.13"		
668	"00:05:11.01"		
669	"00:05:26.12"		
670	"00:05:46.19"		
671	"00:05:51.15"		"Beschäftigung mit aktuellen Themen anstatt mit Kriegserinnerungen (II)"
672	"00:06:00.07"		
673	"00:06:07.01"		
674	"00:06:20.18"		
675	"00:06:28.14"		
676	"00:06:35.17"		
677	"00:06:48.09"		
678	"00:06:53.09"		
679	"00:06:54.13"		
680	"00:06:57.13"		
681	"00:07:04.08"		
682	"00:07:17.06"		
683	"00:07:25.04"		
684	"00:07:33.24"		
685	"00:07:37.11"		
686	"00:07:42.15"		
687	"00:07:47.07"		
688	"00:08:00.06"		
689	"00:08:14.06"		
690	"00:08:19.08"		
691	"00:08:33.01"		
692	"00:08:38.13"		
693	"00:08:40.19"		
694	"00:08:58.11"		
695	"00:09:01.08"		
696	"00:09:06.04"		
697	"00:09:10.00"		
698	"00:09:37.16"		
699	"00:09:45.03"		
700	"00:10:04.23"		
701	"00:10:14.24"		
