iso6393,iso6392B,lang,name
aaa,,ar,لغة جوتشيو
aaa,,az,Qotuo dili
aaa,,bar,Ghotuo
aaa,,de,Ghotuo
aaa,,el,Γκοτούο
aaa,,en,Ghotuo
aaa,,en-ca,Ghotuo
aaa,,en-gb,Ghotuo
aaa,,es,ghotou
aaa,,eu,ghotuo
aaa,,fi,ghotuo
aaa,,fr,ghotuo
aaa,,hr,Ghotuo jezik
aaa,,ig,Ghotuo
aaa,,it,lingua Ghotuo
aaa,,ko,고투오어
aaa,,li,Ghotuo
aaa,,nl,Ghotuo
aaa,,oc,Ghotuo
aaa,,pl,Język ghotuo
aaa,,pms,Lenga Ghotuo
aaa,,sw,Kighotuo
aaa,,vec,ghotuo
aaa,,vi,Tiếng Ghotuo
aab,,de,Alumu-Tesu
aab,,el,Γλώσσα Αλούμου
aab,,en,Alumu
aab,,en-ca,Alumu
aab,,en-gb,Alumu
aab,,eu,alumu-tesu
aab,,ff,Alumu language
aab,,fr,alumu
aab,,ha,Harshen Alumu
aab,,hr,Alumu-Tesu jezik
aab,,hy,ալումու տեսու
aab,,ig,Alumu language
aab,,ko,알루무테수어
aab,,li,Alumu-Tesu
aab,,nl,Alumu-Tesu
aab,,pl,Język alumu-tesu
aab,,pms,Lenga Alumu-Tesu
aab,,ru,Алуму-тесу
aab,,sw,Kialumu-Tesu
aab,,tl,Wikang Alumu
aab,,tr,Alumu-Tesu
aac,,de,Ari
aac,,de-at,Ari
aac,,de-ch,Ari
aac,,el,Άρι γλώσσα
aac,,en,Ari
aac,,en-ca,Ari
aac,,en-gb,Ari
aac,,et,Ari keel
aac,,fr,ari
aac,,hr,Ari jezik
aac,,ilo,Ari
aac,,ko,아리어
aac,,li,Ari
aac,,nl,Ari
aac,,pl,Język ari
aac,,pms,Lenga Ari
aac,,sw,Kiari
aac,,tr,Ari
aad,,br,amaleg
aad,,de,Amal
aad,,el,Γλώσσα Αμάλ
aad,,en,Amal
aad,,en-ca,Amal
aad,,en-gb,Amal
aad,,es,Idioma amal
aad,,fr,amal
aad,,gl,Lingua amal
aad,,hr,Amal jezik
aad,,ilo,Amal
aad,,ko,아말어
aad,,li,Amal
aad,,pl,Język amal
aad,,pms,Lenga Amal
aad,,sat,ᱚᱢᱚᱞ
aad,,sr,Амал
aad,,sw,Kiamal
aad,,tr,Amal
aad,,vi,Amal
aae,,ab,Арбереш
aae,,an,Luenga arbëreshë
aae,,ast,Dialeutu arbëreshë
aae,,az,Arbereş dialekti
aae,,ca,llengua arbëreshë
aae,,de,Arbëresh
aae,,el,Αλβανικά Αρμπερές
aae,,en,Arbëresh
aae,,en-ca,Arbëresh
aae,,en-gb,Arbëresh
aae,,es,Dialecto arbëreshë
aae,,et,Arbereši murre
aae,,eu,Arbëreshera
aae,,fi,Arbëresh
aae,,fr,arberèche
aae,,ga,Arbëresh
aae,,gl,Lingua arbëreshë
aae,,hr,Arbereški jezik
aae,,hu,arberes
aae,,ig,Arbëresh
aae,,it,lingua arbëreshë
aae,,ja,アルベレシュ方言
aae,,ka,არბერეში
aae,,li,Arbëreshë-Albanees
aae,,mzn,آربرشت
aae,,nb,Arbëreshëalbansk
aae,,nl,Arbëresh
aae,,pl,Dialekt arbaryjski
aae,,pms,Lenga arbëreshë
aae,,pt,língua arberesca
aae,,pt-br,Língua arbëreshë
aae,,ru,Арберешский диалект
aae,,sl,arbereščina
aae,,sq,Gjuha arbërishte
aae,,sr,Арванитски језик
aae,,sv,Arberesjiska
aae,,tl,Wikang Arbëresh
aae,,tr,Arbereşçe
aae,,uk,Арберешська мова
aae,,vec,arbëreshë
aae,,zh,阿尔伯雷什方言
aae,,zh-hans,阿尔伯雷什方言
aae,,zh-hant,阿爾伯雷什方言
aaf,,de,Aranadan
aaf,,el,Αραναντάν γλώσσα
aaf,,en,Aranadan
aaf,,en-ca,Aranadan
aaf,,en-gb,Aranadan
aaf,,eu,aranadanera
aaf,,fr,aranadan
aaf,,hr,Aranadan jezik
aaf,,kn,ಎರನಾಡನ್ ಭಾಷೆ
aaf,,li,Aranadan
aaf,,ml,അരനാടൻ ഭാഷ
aaf,,pa,ਏਰਨਾਟਨ
aaf,,pl,Język aranadański
aaf,,pms,Lenga Aranadan
aaf,,pnb,ایرناٹن
aaf,,sw,Kiaranadan
aaf,,ta,அரநாடான்
aaf,,tcy,ಎರನಾಡನ್ ಬಾಸೆ
aag,,el,Γλώσσα Αμπράκ
aag,,en,Ambrak
aag,,en-ca,Ambrak
aag,,en-gb,Ambrak
aag,,et,Ambraki keel
aag,,eu,ambrak
aag,,fr,ambrak
aag,,hr,Ambrak jezik
aag,,ilo,Ambrak
aag,,li,Ambrak
aag,,pl,Język ambrak
aag,,sw,Kiambrak
aag,,tr,Ambrak dili
aah,,el,Γλώσσα Αμπού Αραπές
aah,,en,Abu’ Arapesh
aah,,en-ca,Abu’ Arapesh
aah,,en-gb,Abu’ Arapesh
aah,,et,abu keel
aah,,eu,abu'
aah,,fr,abu’
aah,,hr,Abu' arapesh jezik
aah,,ig,Asụsụ Abuʼ Arapesh
aah,,ilo,Abu’ Arapesh
aah,,li,Abu' Arapesh
aah,,pl,Język arapesz abu
aah,,ru,абу-арапеш
aah,,sw,Kiarapesh ya Abu'
aah,,tr,Abu' Arapesh
aai,,el,Γλώσσα Αριφάμα - Μινιάφα
aai,,en,Arifama-Miniafia
aai,,en-ca,Arifama-Miniafia
aai,,en-gb,Arifama-Miniafia
aai,,eu,arifama-miniafia
aai,,hr,Arifama-Miniafia jezik
aai,,ilo,Arifama-Miniafia
aai,,li,Arifama-Maniafia
aai,,pl,Język miniafia-oyan
aai,,pms,Lenga Arifama - Miniafa
aai,,sw,Kiminiafia-Oyan
aai,,tr,Miniafia dili
aak,,el,Γλώσσα Ανκάβε
