Jahr	Monat	Nutzer mit letztem Login in diesem Monat
2011	1	398
2011	2	460
2011	3	512
2011	4	562
2011	5	621
2011	6	677
2011	7	736
2011	8	769
2011	9	804
2011	10	854
2011	11	912
2011	12	969
2012	1	1052
2012	2	1124
2012	3	1164
2012	4	1210
2012	5	1262
2012	6	1322
2012	7	1362
2012	8	1408
2012	9	1459
2012	10	1516
2012	11	1561
2012	12	1617
2013	1	1714
2013	2	1773
2013	3	1834
2013	4	1889
2013	5	1973
2013	6	2019
2013	7	2054
2013	8	2093
2013	9	2131
2013	10	2172
2013	11	2224
2013	12	2250
2014	1	2316
2014	2	2361
2014	3	2438
2014	4	2484
2014	5	2528
2014	6	2571
2014	7	2621
2014	8	2679
2014	9	2723
2014	10	2772
2014	11	2891
2014	12	2959
2015	1	3067
2015	2	3133
2015	3	3211
2015	4	3276
2015	5	3390
2015	6	3459
2015	7	3519
2015	8	3581
2015	9	3638
2015	10	3714
2015	11	3810
2015	12	3866
2016	1	3989
2016	2	4093
2016	3	4180
